Exchange,Date,Amount,Attack Type
Crypto.com,01/18/2022,34000000,Hot Wallet Compromise
Bitmart,12/04/2021,196000000,Private Key Compromise
Ascendex,12/11/2021,80000000,Hot Wallet Compromise
KuCoin,09/29/2020,281000000,Hot Wallet Compromise
Liquid Global,08/19/2021,100000000,Unauthorized Withdrawal
Mt. Gox,06/18/2011,460000000,Private Key Compromise
Bitfinex,08/02/2016,623000000,Private Key Compromise
ACX,NaN,NaN,Rug Pull
Africrypt,04/13/2021,3600000000,Rug Pull
QuadigaCX,12/08/2018,250000000,Private Key Compromise
Thodex,05/22/2021,2000000000,Rug Pull
Livecoin,12/23/2020,3300000,Price Manipulation
Negocie Coins,12/01/2020,NaN,Unable to Sell
CryTrEx,09/01/2020,NaN,Other
NLexch,09/01/2020,NaN,Bankruptcy
Tradesatoshi,02/01/2020,NaN,Bankruptcy
FCoin,02/01/2020,130000000,Bankruptcy
Coinnest,04/01/2018,NaN,Rug Pull
Coinnest,01/01/2019,5000000,Failed Airdrop
Crytopia,01/15/2019,23000000,Hot Wallet Compromise
Crytopia,01/28/2019,284000,Hot Wallet Compromise
Zaif,09/14/2018,60000000,Hot Wallet Compromise
Coinrail,06/10/2018,40000000,Rug Pull
Coinsecure,04/13/2018,3500000,Rug Pull
Bitgrail,02/10/2018,170000000,Rug Pull
Youbit,04/01/2017,73000000,Hot Wallet Compromise
Youbit,12/01/2017,NaN,Hot Wallet Compromise
CoinCheck,01/27/2018,533000000,Phishing Attack
Gatecoin,04/09/2016,2140000,Hot Wallet Compromise
NiceHash,12/01/2017,80000000,NaN
NiceHash,07/28/2018,NaN,DDos Attack
Bithumb,06/19/2018,31000000,Hot Wallet Compromise
Bithumb,06/29/2017,8700,Admin Account Hack
Harborly,08/14/2015,NaN,Bankruptcy
Virtex,01/01/2015,NaN,Rug Pull
AllCrypto.com,03/15/2015,10500,Admin Account Hack
MintPal,10/13/2014,3500000,Unauthorized Withdrawal
McxNOW,09/01/2013,NaN,Rug Pull
CryptoRush,03/01/2014,970000,Rug Pull
WeExchange,02/01/2017,NaN,Rug Pull
Kapiton,04/18/2012,NaN,Rug Pull
Bitomat,07/26/2011,500000,Rug Pull
Bitfloor,09/03/2012,250000,Private Key Compromise
BitMarket.eu,12/21/2012,500000,Rug Pull
Cryto-Trade,01/01/2015,NaN,Rug Pull
Bitcoinica,03/01/2012,87000,Hot Wallet Compromise
Tradehill,02/13/2012,100000,Bankruptcy
The Bitcoin Market,02/06/2010,NaN,Rug Pull
Hotbit,04/29/2021,NaN,Hot Wallet Compromise
EXMO,12/23/2020,4000000,Hot Wallet Compromise
BTC Markets,12/01/2020,NaN,Admin Account Hack
Cashaa,07/11/2020,3100000,Other
Lendf.me,04/19/2020,24500000,Reentrancy
Altsbit,02/05/2020,70000,Hot Wallet Compromise
Upbit,11/26/2019,49000000,Hot Wallet Compromise
VinDAX,11/05/2019,500000,Unauthorized Withdrawal
Bitpoint,07/11/2019,32000000,Hot Wallet Compromise
Bitrue,06/27/2019,4500000,Hot Wallet Compromise
Gatehub,06/06/2019,9500000,Hot Wallet Compromise
Binance,05/07/2019,40000000,Hot Wallet Compromise
Bithumb,03/29/2019,29000000,NaN
Coinbene,03/25/2019,40000000,Rug Pull
DragonEX,03/24/2019,1000000,Hot Wallet Compromise
Coinmama,02/15/2019,NaN,Other
LocalBitcoins,01/26/2019,27000,Phishing Attack
Maplechange,10/28/2018,51000,Other
EtherDelta,12/20/2017,NaN,Other
Bithumb,07/05/2017,7000000,Other
Yapizon,04/22/2017,5300000,Hot Wallet Compromise
Cryptopia,01/14/2017,16000000,NaN
Shapeshift,04/07/2016,230000,NaN
BTER,02/16/2016,1750000,NaN
Bitstamp,12/11/2015,5000000,Malware
BTER,08/15/2015,1650000,NaN
Poloniex,03/04/2014,50000,Hot Wallet Compromise
Bitcash,11/11/2013,100000,Hot Wallet Compromise
Bitcoin7,10/05/2011,NaN,Hot Wallet Compromise
Vicurex,01/01/2013,50000000,Hot Wallet Compromise
Inputs,10/23/2013,1200000,Hot Wallet Compromise
BIPS,11/17/2017,1000000,DDos Attack
Picostocks,11/29/2013,6000000,Hot Wallet Compromise
Sheep Marketplace,11/21/2013,6000000,Rug Pull
GBL Exchange,10/26/2013,4100000,Rug Pull
FTX,11/8/2022,1700000000,Fraud